hour,rows,average_actual,average_prediction,mae
0,3100,1.236451612903226,1.1559314383167525,1.0339651281408113
1,3100,0.056451612903225805,0.31562133940814013,0.3314043202803207
2,3100,0.0,0.12071790881520474,0.12071790881520474
3,3100,0.0,0.14768931363163473,0.14768931363163473
4,3100,0.0,0.19344091476496597,0.19344091476496597
5,3100,0.06419354838709677,0.3179030127540544,0.30432570515801644
6,3100,1.742258064516129,1.5000845764173738,0.9844146138821851
7,3100,5.4316129032258065,4.510795900520264,2.3446435701011428
8,3100,7.629354838709677,7.050317815682283,3.0379428015144607
9,3100,4.903870967741936,5.81955236648956,2.3506160680081947
10,3100,3.6461290322580644,4.261526853522371,1.9376413485368644
11,3100,3.7761290322580647,4.006662820628223,1.8946037937778668
12,3100,4.588709677419355,4.727774613667729,2.0827703916068083
13,3100,4.876451612903225,5.078461248779356,2.1513784769374227
14,3100,4.7461290322580645,5.019059710261244,2.1548697369131817
15,3100,5.137096774193548,5.232635592938319,2.2358255814954537
16,3099,6.779283639883833,6.425663634659472,2.588335325769032
17,3092,9.086998706338939,8.281842222500462,3.240378596633404
18,3091,10.362018764153996,9.645236409732084,3.394739376368375
19,3089,6.543865328585302,7.305836560556256,2.699647323782195
20,3089,4.73745548721269,4.983506324533421,2.198675291164021
21,3088,4.981865284974093,4.529095391891944,2.244531363219975
22,3083,3.8696075251378526,3.7599981421548074,1.9581727102264512
23,3051,2.084890199934448,2.213193036072987,1.4181394043577575
