station_name,rows,average_actual,average_prediction,mae
捷運公館站(2號出口),744,20.987903225806452,20.971178479253965,6.045141197262635
捷運公館站(3號出口),744,11.005376344086022,10.914437071005624,3.939918246055239
捷運劍潭站(2號出口),742,9.74932614555256,10.258342344175409,3.918887165001526
捷運科技大樓站,744,11.994623655913978,11.953242424355516,3.74714297877703
捷運芝山站(2號出口)_1,744,11.327956989247312,11.462849826769128,3.695777867577882
捷運中山國中站,744,9.239247311827956,9.295406959523456,3.39155553198409
捷運龍山寺站(1號出口),744,9.754032258064516,9.69909143531259,3.2301762703722012
捷運臺北101/世貿站(2號出口),737,7.436906377204885,7.452337584290736,3.056649056466071
捷運圓山站(1號出口),743,7.664872139973082,7.671591663378833,2.8165852621612695
捷運六張犁站,743,8.029609690444145,8.01293551141917,2.7607746337836594
捷運芝山站(1號出口),744,6.782258064516129,6.817397418183512,2.672927735852716
捷運象山站(3號出口),736,6.536684782608695,6.477939717222344,2.549107225597665
捷運永春站(2號出口),744,6.53494623655914,6.545830450827462,2.522785764051333
捷運東門站(5號出口),744,6.576612903225806,6.582999259127438,2.520141643024405
捷運行天宮站(3號出口),744,7.331989247311828,7.26589329129315,2.470603136514248
捷運北投站(1號出口),744,6.170698924731183,6.148105674740861,2.4036864181492654
捷運南京三民站(1號出口),743,6.888290713324361,6.834101061786283,2.3961786083134045
捷運象山站(2號出口),737,5.57123473541384,5.605631138975186,2.394831904607012
捷運劍南路站(2號出口),744,6.190860215053763,6.1289466378344395,2.375113213345562
捷運圓山站(2號出口),744,5.993279569892473,6.017774605706434,2.3665776202029387
捷運南港展覽館站(5號出口),744,4.03494623655914,4.047512852796918,2.267057214508757
捷運北門站(3號出口),743,6.014804845222073,5.935411424217029,2.265867776614295
捷運松江南京站(7號出口),744,4.836021505376344,4.9007428826484185,2.2305486314780802
捷運大安森林公園站(5號出口),744,5.399193548387097,5.345484154100011,2.058909329648433
捷運後山埤站(2號出口),744,4.612903225806452,4.599754064133847,2.0523535328110722
捷運大安站(4號出口),743,5.271870794078062,5.178894290356643,2.048240514497364
捷運古亭站(2號出口),744,5.356182795698925,5.302942775207185,2.0188600556720346
捷運古亭站(5號出口),744,4.775537634408602,4.752461954714992,1.9993573773469366
捷運士林站(2號出口),744,4.862903225806452,4.855516352433887,1.9917281493352552
捷運國父紀念館站(2號出口),737,4.312075983717775,4.302523993067422,1.9583548190107793
捷運劍潭站(1號出口),744,4.133064516129032,4.142210257171987,1.9548017466256282
捷運市政府站(3號出口),744,3.7594086021505375,3.823559751156112,1.9492356352397335
捷運大橋頭站(2號出口),744,4.407258064516129,4.421745595342349,1.8606769080201024
捷運信義安和站(4號出口),739,4.368064952638701,4.333993326207854,1.8542346690397262
捷運石牌站(2號出口),743,4.843876177658142,4.859880957130269,1.8367062035330026
