column,role,non_null_rows,usable_rows,coverage_percent
hour,predictor,3580,3580,100.0
day_of_week,predictor,3580,3580,100.0
month,predictor,3580,3580,100.0
is_weekend,predictor,3580,3580,100.0
is_rush_hour,predictor,3580,3580,100.0
hour_sin,predictor,3580,3580,100.0
hour_cos,predictor,3580,3580,100.0
day_of_week_sin,predictor,3580,3580,100.0
day_of_week_cos,predictor,3580,3580,100.0
available_bikes_lag_15m,predictor,1761,1761,49.19
lag_15m_actual_minutes,predictor,1761,1761,49.19
available_bikes_lag_30m,predictor,0,0,0.0
lag_30m_actual_minutes,predictor,0,0,0.0
available_bikes_lag_60m,predictor,0,0,0.0
lag_60m_actual_minutes,predictor,0,0,0.0
available_bikes_mean_past_30m,predictor,1761,1761,49.19
observations_past_30m,predictor,3580,1761,49.19
available_bikes_mean_past_60m,predictor,1761,1761,49.19
observations_past_60m,predictor,3580,1761,49.19
target_available_bikes_30m,target,0,0,0.0
target_30m_actual_minutes,target,0,0,0.0
target_available_bikes_60m,target,0,0,0.0
target_60m_actual_minutes,target,0,0,0.0
