is_weekend,borrow_hour,total_trips,average_trips_per_day,observed_days
False,0,51357,197.52692307692308,260
False,1,4049,15.573076923076924,260
False,2,75,0.28846153846153844,260
False,3,0,0.0,260
False,4,3,0.011538461538461539,260
False,5,7383,28.396153846153847,260
False,6,106996,411.5230769230769,260
False,7,398394,1532.2846153846153,260
False,8,599532,2305.892307692308,260
False,9,366346,1409.0230769230768,260
False,10,239995,923.0576923076923,260
False,11,212364,816.7846153846153,260
False,12,241541,929.0038461538461,260
False,13,257657,990.9884615384616,260
False,14,237501,913.4653846153847,260
False,15,258468,994.1076923076923,260
False,16,357689,1375.7269230769232,260
False,17,483786,1860.7153846153847,260
False,18,606095,2331.1346153846152,260
False,19,433146,1665.946153846154,260
False,20,275244,1058.6307692307691,260
False,21,257150,989.0384615384615,260
False,22,207161,796.7730769230769,260
False,23,105626,406.25384615384615,260
True,0,33491,318.96190476190475,105
True,1,4096,39.00952380952381,105
True,2,563,5.3619047619047615,105
True,3,311,2.961904761904762,105
True,4,219,2.085714285714286,105
True,5,2203,20.98095238095238,105
True,6,24236,230.8190476190476,105
True,7,49937,475.5904761904762,105
True,8,79650,758.5714285714286,105
True,9,83046,790.9142857142857,105
True,10,79269,754.9428571428572,105
True,11,83345,793.7619047619048,105
True,12,94440,899.4285714285714,105
True,13,108542,1033.7333333333333,105
True,14,109047,1038.5428571428572,105
True,15,114286,1088.4380952380952,105
True,16,123675,1177.857142857143,105
True,17,141356,1346.247619047619,105
True,18,131340,1250.857142857143,105
True,19,103159,982.4666666666667,105
True,20,91432,870.7809523809524,105
True,21,94040,895.6190476190476,105
True,22,80563,767.2666666666667,105
True,23,48675,463.57142857142856,105
