month,trip_count,average_trips_per_day,observed_days,average_unique_borrow_stations,trips_over_2h
2023-01,593616,19148.90322580645,31,980.3870967741935,6088
2023-02,643304,22975.14285714286,28,1033.1785714285713,6174
2023-03,736321,23752.290322580644,31,1058.1290322580646,7108
2023-04,725241,24174.7,30,1075.6,8793
2023-05,809291,26106.16129032258,31,1092.483870967742,6328
2023-06,737985,24599.5,30,1069.6,5538
2023-07,533900,17222.58064516129,31,1019.3870967741935,4716
2023-08,505654,16311.41935483871,31,993.0322580645161,4518
2023-09,523099,17436.633333333335,30,1036.4666666666667,4857
2023-10,516217,16652.16129032258,31,1026.4516129032259,5198
2023-11,545662,18188.733333333334,30,1054.7,5698
2023-12,518189,16715.774193548386,31,1022.4516129032259,4635
