station_name,borrow_count,return_count,total_activity,current_station_match
捷運芝山站(2號出口)_1,11319,764,12083,True
捷運公館站(3號出口),10456,1482,11938,True
捷運劍潭站(2號出口),10896,500,11396,True
捷運中山國中站,9171,1250,10421,True
捷運科技大樓站,8945,1064,10009,True
捷運芝山站(1號出口),8535,442,8977,True
捷運行天宮站(3號出口),7628,1295,8923,True
捷運龍山寺站(1號出口),7814,1000,8814,True
捷運圓山站(1號出口),6504,1408,7912,True
捷運劍南路站(2號出口),6994,659,7653,True
捷運六張犁站,6584,1068,7652,True
捷運北投站(1號出口),6125,973,7098,True
捷運永春站(2號出口),6002,1084,7086,True
捷運臺北101/世貿站(2號出口),5952,765,6717,True
捷運圓山站(2號出口),6017,678,6695,True
捷運石牌站(2號出口),5727,859,6586,True
捷運東門站(5號出口),5356,1188,6544,True
捷運南京三民站(1號出口),5850,665,6515,True
捷運北門站(3號出口),5180,1158,6338,True
捷運忠孝復興站(2號出口),4671,1029,5700,True
捷運國父紀念館站(2號出口),4621,1029,5650,True
捷運象山站(3號出口),5245,372,5617,True
捷運象山站(2號出口),5131,381,5512,True
捷運公館站(2號出口),4663,774,5437,True
捷運中山站(2號出口),4042,1269,5311,True
捷運士林站(2號出口),4594,708,5302,True
捷運南港展覽館站(5號出口),4922,371,5293,True
捷運松江南京站(7號出口),4600,661,5261,True
捷運大安站(4號出口),4466,763,5229,True
捷運奇岩站(三合街),4601,549,5150,True
捷運市政府站(3號出口),4308,814,5122,True
臺大大一女舍北側,4823,270,5093,True
捷運信義安和站(4號出口),3766,1281,5047,True
捷運古亭站(2號出口),4279,686,4965,True
捷運大橋頭站(2號出口),4347,577,4924,True
捷運關渡站(1號出口),3989,641,4630,True
捷運大安森林公園站(5號出口),4052,568,4620,True
捷運南京復興站(5號出口),3566,683,4249,True
臺北醫學大學,294,3885,4179,True
捷運西門站(3號出口),3391,781,4172,True
捷運後山埤站(2號出口),3606,549,4155,True
捷運士林站(1號出口),3580,544,4124,True
捷運雙連站(2號出口),2940,1009,3949,True
捷運劍潭站(1號出口),3453,357,3810,True
中華桂林路口,1253,2542,3795,True
捷運大安森林公園站(2號出口),3021,760,3781,True
百齡國小,57,3684,3741,True
永樂市場,510,3168,3678,True
捷運古亭站(5號出口),3166,486,3652,True
捷運中山站(5號出口),2787,754,3541,True
捷運昆陽站(1號出口),3047,411,3458,True
西本願寺廣場,2700,753,3453,True
南京遼寧街口,2693,753,3446,True
捷運明德站(3號出口),2903,470,3373,True
臺北市立圖書館(總館),275,3082,3357,True
捷運中山國小站(4號出口),2915,438,3353,True
臺灣師範大學(圖書館),423,2866,3289,True
捷運大安站(3號出口),2645,557,3202,True
捷運港墘站(2號出口),2898,280,3178,True
捷運松山站(3號出口),2611,513,3124,True
雨農國小,416,2700,3116,True
松仁路95巷口,572,2542,3114,True
捷運唭哩岸站(2號出口),2651,463,3114,True
捷運臺大醫院站(4號出口),2087,958,3045,True
捷運信義安和站(1號出口),2268,771,3039,True
建國和平路口西北側,378,2632,3010,True
捷運龍山寺站(1號出口)_1,2373,606,2979,True
蘭雅公園,280,2684,2964,True
信義廣場(臺北101),2184,757,2941,True
樂群二敬業四路口,164,2772,2936,True
清江國小,63,2863,2926,True
吳興公車總站,809,2100,2909,True
捷運文德站(2號出口),2694,181,2875,True
捷運景美站(2號出口),2421,433,2854,True
捷運公館站(1號出口),2291,541,2832,True
捷運南京三民站(2號出口),2225,604,2829,True
蘭興公園,212,2571,2783,True
象山公園,629,2034,2663,True
捷運臺電大樓站(2號出口),2364,287,2651,True
捷運松山站(4號出口),2140,511,2651,True
興雅松仁路口,2115,447,2562,True
光華商場,1271,1278,2549,True
中山行政中心,916,1620,2536,True
捷運善導寺站(3號出口)(忠孝東路側),2038,460,2498,True
北投運動中心,137,2333,2470,True
新生和平路口東北側,595,1865,2460,True
捷運古亭站(6號出口),1887,550,2437,True
臺北孔廟,349,2075,2424,True
和平龍泉街口,418,2001,2419,True
牯嶺公園,139,2191,2330,True
捷運忠孝敦化站(7號出口),1804,519,2323,True
健安新城,371,1933,2304,True
捷運西湖站(1號出口),2022,278,2300,True
捷運後山埤站(3號出口),1863,431,2294,True
士林運動中心,236,2054,2290,True
捷運臺電大樓站(2號出口)_1,1825,460,2285,True
朱崙商場,158,2116,2274,True
和平重慶路口,274,1996,2270,True
復興南路二段273號前,1802,449,2251,True
吳興街260巷,143,2102,2245,True
捷運古亭站(8號出口),2078,166,2244,True
捷運內湖站(1號出口),2054,181,2235,True
捷運忠孝新生站(4號出口),1848,379,2227,True
臺北市災害應變中心,202,2022,2224,True
捷運南京復興站(7號出口),1830,384,2214,True
林森長春路口,251,1947,2198,True
文湖國小,187,1973,2160,True
松山車站,1467,692,2159,True
臺灣科技大學側門,519,1640,2159,True
捷運萬隆站(2號出口),1902,227,2129,True
捷運小巨蛋站(5號出口)_1,1913,210,2123,True
大稻埕碼頭,708,1399,2107,True
捷運信義安和站(2號出口),1581,525,2106,True
仁愛醫院,531,1556,2087,True
捷運忠孝新生站(2號出口),1579,505,2084,True
金華公園,267,1817,2084,True
銘傳國小側門,1832,247,2079,True
復興南路二段128巷口,340,1730,2070,True
內政部營建署,203,1854,2057,False
圓環站,485,1542,2027,True
復興市民路口,511,1509,2020,True
民生活動中心,346,1673,2019,True
信義建國路口,1479,540,2019,True
芝山國小,56,1959,2015,True
安強公園,105,1908,2013,False
捷運萬隆站(4號出口),1709,296,2005,True
信義敦化路口,983,1015,1998,True
捷運中正紀念堂站(3號出口),1692,296,1988,True
捷運小南門站(1號出口),1795,193,1988,True
士林新天地,51,1923,1974,True
捷運臺北101/世貿站(3號出口),1652,301,1953,True
捷運小巨蛋站(3號出口),1578,368,1946,True
捷運忠孝復興站(5號出口),1432,505,1937,True
臺灣科技大學後門,72,1853,1925,True
捷運西門站(5號出口),1504,419,1923,True
捷運松江南京站(8號出口),1505,400,1905,True
第二果菜批發市場,142,1760,1902,True
龍門廣場,1203,698,1901,True
福德國小,151,1749,1900,True
敦親公園,95,1790,1885,True
榮星花園,183,1679,1862,True
臺大椰林小舖,1541,314,1855,True
捷運萬隆站(1號出口),1576,257,1833,True
捷運後山埤站(1號出口),1442,388,1830,True
民生敦化路口,685,1145,1830,True
捷運芝山站(2號出口),1683,134,1817,True
南昌公園,1359,456,1815,True
敦化南路二段103巷口,184,1626,1810,True
捷運象山站(1號出口),1568,237,1805,True
民有一號公園,244,1556,1800,True
中華峨嵋街口,1129,657,1786,False
臺大社科院西側,160,1625,1785,True
臺大鹿鳴堂東側,1429,355,1784,True
捷運松江南京站(4號出口),1506,277,1783,True
仁愛延吉街口,355,1422,1777,True
士林3號廣場,1402,370,1772,True
捷運小巨蛋站(2號出口),1402,360,1762,True
興安華城,310,1445,1755,True
捷運南京三民站(4號出口),1545,184,1729,True
三張犁,271,1447,1718,True
市府松高路口,1181,518,1699,True
光復南路22巷口,350,1337,1687,True
重慶酒泉街口,314,1367,1681,True
臺大男一舍前,60,1604,1664,True
福港街停車場,23,1640,1663,True
臺大新體育館東南側,231,1430,1661,True
南機場夜市(中華路二段),581,1065,1646,True
捷運大橋頭站(1A出口),1389,249,1638,True
捷運港墘站(1號出口),1428,206,1634,True
南京東興路口,1325,305,1630,True
聖山綠地,44,1566,1610,True
捷運民權西路站(2號出口),1439,164,1603,True
捷運忠孝新生站(3號出口),1339,248,1587,True
復興南路1段340巷口,399,1187,1586,True
華齡公園,117,1469,1586,True
捷運大直站(1號出口),1360,225,1585,True
泰和公園,45,1530,1575,True
信義杭州路口,463,1111,1574,True
臺大第一活動中心西南側,150,1423,1573,True
臺北南山廣場_1,531,1042,1573,True
捷運古亭站(9號出口),1236,332,1568,True
南港車站(市民大道),1362,196,1558,True
信義連雲街口,975,577,1552,True
捷運北投站(1號出口)(北投路側),1373,173,1546,True
捷運東湖站,1289,253,1542,True
捷運南京復興站(8號出口),1231,309,1540,True
松德站,86,1453,1539,True
金山信義路口,1116,417,1533,True
捷運忠孝新生站(1號出口),1207,325,1532,True
臺北田徑場,860,667,1527,True
捷運忠孝敦化站(2號出口),959,558,1517,True
松仁路253巷3弄,173,1330,1503,True
捷運大安站(5號出口),1223,279,1502,True
臺大小福樓東側,179,1318,1497,True
中正基河路口,607,889,1496,True
重慶民族路口,278,1218,1496,True
捷運國父紀念館站(1號出口),1128,363,1491,True
捷運公館站(4號出口),1133,350,1483,True
伊通長安路口,183,1298,1481,True
捷運行天宮站(1號出口),1151,328,1479,True
瑞湖陽光街口,58,1419,1477,True
捷運復興崗站(1號出口),1236,240,1476,True
劍潭基河路口,1316,159,1475,True
嘉興公園,163,1310,1473,True
南京林森路口(東南側),447,1017,1464,False
民生光復路口,168,1296,1464,True
螢橋國小,136,1324,1460,True
南京建國路口,373,1082,1455,True
和平金山路口,924,515,1439,True
汀州思源街口東南側,1030,407,1437,True
和平泰順街口,169,1263,1432,True
捷運民權西路站(3號出口),1115,313,1428,True
南京光復路口,345,1055,1400,True
南京新生路口,262,1136,1398,True
辛亥復興路口西北側,207,1189,1396,True
捷運臺北101/世貿站(5號出口),1016,378,1394,True
文化三杏林一路口,55,1331,1386,True
捷運東門站(3號出口),966,409,1375,True
天母運動公園,151,1215,1366,True
捷運南京三民站(3號出口),1059,303,1362,True
敦化南京路口(東北側),960,402,1362,True
關渡宮,463,892,1355,True
忠誠路二段53巷,61,1285,1346,True
國立臺北大學(臺北校區),270,1074,1344,True
林口公園,246,1092,1338,True
中山天母路口,240,1097,1337,True
民生國小(敦化北路199巷),104,1232,1336,True
和平新生路口西南側,278,1051,1329,True
大稻埕公園,179,1149,1328,True
松友公園,103,1223,1326,True
新生南路三段82號前,515,809,1324,True
華西公園,351,963,1314,True
南港車站(興華路),1077,237,1314,True
松德路200巷,137,1176,1313,True
永吉松信路口,170,1141,1311,True
捷運西湖站(2號出口),1129,179,1308,True
福德公園,185,1118,1303,True
捷運小南門站(2號出口),1152,149,1301,True
嘉興街175巷口,379,916,1295,True
捷運北投站,1064,231,1295,True
捷運新北投站,507,783,1290,True
西松高中(健康路325巷),84,1200,1284,True
捷運西門站(2號出口),1089,194,1283,True
成功國宅,220,1058,1278,True
捷運明德站(1號出口),1053,221,1274,True
基隆長興路口東側,472,801,1273,True
捷運小巨蛋站(5號出口),930,339,1269,True
臺北市立大學(天母校區),44,1215,1259,True
華江高中,286,969,1255,True
捷運中正紀念堂站(5號出口),993,260,1253,True
蘭雅國小,219,1034,1253,True
民生立體停車場,301,947,1248,True
健康新城,199,1048,1247,True
民權建國路口,535,712,1247,True
通河街76巷/承德路四段10巷口,40,1206,1246,True
開封西寧路口,235,1011,1246,True
臨江街夜市(通化街101巷口),213,1025,1238,True
敦北公園,854,381,1235,True
捷運科技大樓站(臺北教育大學),716,514,1230,True
捷運市政府站(4號出口),937,290,1227,True
林森公園,498,728,1226,True
捷運辛亥站,1101,116,1217,True
江寧公園,111,1093,1204,True
承德劍潭路口,903,300,1203,True
士東路91巷口,54,1149,1203,True
捷運中山國小站(2號出口),992,210,1202,True
和平敦化路口,606,594,1200,True
臺大工綜館南側,115,1084,1199,True
光復信義路口東南側,251,947,1198,True
忠誠路一段173巷口,108,1082,1190,True
新生南路一段119巷口,784,405,1189,True
成功金龍路口,1019,158,1177,True
忠孝西重慶南路口,684,492,1176,True
捷運葫洲站(1號出口),1010,166,1176,True
紀州庵,93,1082,1175,True
關渡自然公園,28,1144,1172,True
南京太原路口,399,771,1170,True
萬華266號綠地,375,795,1170,True
饒河疏散門(基四號疏散門),715,448,1163,True
捷運大直站(3號出口),948,205,1153,True
