model,split,alpha,rows,mae,rmse,r2,candidate
persistence_1h,validation,,146400,2.556058743169399,4.367126795512976,0.4354248974527623,
seasonal_168h,validation,,146400,2.1849180327868853,3.749941711751005,0.5837261270907345,
persistence_1h,test,,74282,2.4413047575455695,4.129208414877032,0.4598516438091273,
seasonal_168h,test,,74282,2.176274198325301,3.7008720666178,0.5661020519854612,
ridge_time_history,validation,100.0,146400,1.83220271281776,2.976540352332632,0.7377269490378326,
ridge_time_history,test,100.0,74282,1.809617915570153,2.9113393183903615,0.7314871323923382,
ridge_time_history_weather,validation,0.1,146400,1.818827129826719,2.952266803769219,0.7419871561627929,
ridge_time_history_weather,test,0.1,74282,1.793285538774794,2.8893034019954986,0.7355364951476717,
hist_gradient_boosting,validation,,146400,1.6385172389726008,2.6759357040748046,0.7880265503081332,deeper
hist_gradient_boosting,test,,74282,1.6013851416108138,2.5671412860532015,0.7912247588752103,deeper
hist_gradient_boosting_weather,validation,,146400,1.617915564179544,2.6428204422744686,0.7932405186669254,deeper
hist_gradient_boosting_weather,test,,74282,1.5747426189106093,2.5487425907864982,0.7942066182333527,deeper
