variant,split,rows,feature_count,feature_columns,mae,rmse,r2,full_mae,full_rmse,full_r2,mae_delta_vs_full,mae_percent_change_vs_full,rmse_delta_vs_full,r2_delta_vs_full
full,validation,146400,18,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.617915564179544,2.6428204422744686,0.7932405186669254,1.617915564179544,2.6428204422744686,0.7932405186669254,0.0,0.0,0.0,0.0
full,test,74282,18,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.5747426189106093,2.5487425907864982,0.7942066182333527,1.5747426189106093,2.5487425907864982,0.7942066182333527,0.0,0.0,0.0,0.0
without_station_identity,validation,146400,17,hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.656019456319377,2.7255519869941156,0.7800929971642312,1.617915564179544,2.6428204422744686,0.7932405186669254,0.03810389213983312,2.3551224169819927,0.08273154471964705,-0.01314752150269416
without_station_identity,test,74282,17,hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.6188535478739274,2.6253592186239274,0.781648127352793,1.5747426189106093,2.5487425907864982,0.7942066182333527,0.04411092896331814,2.8011516570138695,0.07661662783742917,-0.012558490880559714
without_calendar,validation,146400,11,station_name|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.7771340915181013,2.894784567660523,0.7519366430257588,1.617915564179544,2.6428204422744686,0.7932405186669254,0.15921852733855735,9.840966417756055,0.2519641253860545,-0.041303875641166554
without_calendar,test,74282,11,station_name|borrow_lag_1h|return_lag_1h|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.739081471694955,2.850739049897706,0.7425491198153313,1.5747426189106093,2.5487425907864982,0.7942066182333527,0.16433885278434568,10.435918277110808,0.30199645911120765,-0.051657498418021364
without_immediate_history,validation,146400,16,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.6529650673690153,2.7148955219296815,0.7818092367271969,1.617915564179544,2.6428204422744686,0.7932405186669254,0.03504950318947131,2.166336981080045,0.07207507965521298,-0.011431281939728422
without_immediate_history,test,74282,16,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_24h|borrow_lag_168h|borrow_rolling_mean_24h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.6097332389436965,2.617866909116262,0.7828926240527568,1.5747426189106093,2.5487425907864982,0.7942066182333527,0.03499062003308717,2.221989778703857,0.06912431832976385,-0.011313994180595865
without_daily_history,validation,146400,16,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_168h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.698866375525769,2.7644176103685463,0.7737766542992537,1.617915564179544,2.6428204422744686,0.7932405186669254,0.08095081134622495,5.003401483888664,0.12159716809407772,-0.01946386436767167
without_daily_history,test,74282,16,station_name|hour_sin|hour_cos|weekday_sin|weekday_cos|month_sin|month_cos|is_weekend|borrow_lag_1h|return_lag_1h|borrow_lag_168h|temperature_c|relative_humidity_percent|precipitation_mm|wind_speed_kmh|is_raining,1.6258480921839777,2.618921315373291,0.7827176988293798,1.5747426189106093,2.5487425907864982,0.7942066182333527,0.05110547327336845,3.2453222932851524,0.07017872458679264,-0.011488919403972897
