event_time,station_name,borrow_count,prediction,signed_error,absolute_error,station_demand_tier,peak_period,official_day_type,rain_intensity,temperature_band,precipitation_mm,temperature_c
2023-12-11 08:00:00+08:00,捷運芝山站(2號出口)_1,19.0,60.122402127296326,-41.122402127296326,41.122402127296326,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,22.1
2023-12-22 08:00:00+08:00,捷運公館站(2號出口),77.0,43.604651974099205,33.395348025900795,33.395348025900795,high,morning_peak,regular_workday,dry,cool_training_quartile,0.0,9.9
2023-12-05 18:00:00+08:00,捷運劍潭站(2號出口),70.0,37.47822449329639,32.52177550670361,32.52177550670361,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,18.4
2023-12-21 08:00:00+08:00,捷運公館站(3號出口),51.0,20.353945454440797,30.646054545559203,30.646054545559203,high,morning_peak,regular_workday,rain_below_training_median,cool_training_quartile,0.1,12.0
2023-12-25 08:00:00+08:00,捷運中山國中站,49.0,18.359277941742263,30.640722058257737,30.640722058257737,high,morning_peak,regular_workday,dry,cool_training_quartile,0.0,13.4
2023-12-03 08:00:00+08:00,捷運公館站(2號出口),47.0,16.494525812887876,30.505474187112124,30.505474187112124,high,morning_peak,weekend_day_off,dry,cool_training_quartile,0.0,18.8
2023-12-05 08:00:00+08:00,捷運中山國中站,47.0,17.69950489162503,29.30049510837497,29.30049510837497,high,morning_peak,regular_workday,rain_below_training_median,middle_temperature_range,0.1,19.2
2023-12-29 08:00:00+08:00,捷運公館站(2號出口),24.0,53.04481596395348,-29.044815963953482,29.044815963953482,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,19.2
2023-12-13 19:00:00+08:00,捷運劍潭站(2號出口),6.0,33.521649962369665,-27.521649962369665,27.521649962369665,high,evening_peak,regular_workday,dry,middle_temperature_range,0.0,20.2
2023-12-28 11:00:00+08:00,捷運公館站(2號出口),55.0,27.483888050016933,27.516111949983067,27.516111949983067,high,off_peak,regular_workday,rain_below_training_median,middle_temperature_range,0.1,20.5
2023-12-29 18:00:00+08:00,捷運龍山寺站(1號出口),46.0,20.185447119293233,25.814552880706767,25.814552880706767,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,18.9
2023-12-01 18:00:00+08:00,捷運芝山站(2號出口)_1,56.0,30.763482396999866,25.236517603000134,25.236517603000134,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,15.7
2023-12-01 18:00:00+08:00,捷運劍潭站(2號出口),55.0,29.80773006568483,25.19226993431517,25.19226993431517,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,15.7
2023-12-29 17:00:00+08:00,捷運芝山站(2號出口)_1,50.0,25.110514183561133,24.889485816438867,24.889485816438867,high,evening_peak,regular_workday,dry,middle_temperature_range,0.0,19.2
2023-12-21 08:00:00+08:00,捷運公館站(2號出口),58.0,33.509147029404616,24.490852970595384,24.490852970595384,high,morning_peak,regular_workday,rain_below_training_median,cool_training_quartile,0.1,12.0
2023-12-23 08:00:00+08:00,捷運公館站(3號出口),31.0,7.31781407357694,23.68218592642306,23.68218592642306,high,morning_peak,weekend_day_off,rain_below_training_median,cool_training_quartile,0.1,14.0
2023-12-27 19:00:00+08:00,捷運劍潭站(2號出口),9.0,32.557881719529114,-23.557881719529114,23.557881719529114,high,evening_peak,regular_workday,dry,middle_temperature_range,0.0,19.5
2023-12-11 08:00:00+08:00,捷運科技大樓站,30.0,53.38180384806404,-23.381803848064038,23.381803848064038,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,22.1
2023-12-11 08:00:00+08:00,捷運芝山站(1號出口),19.0,42.2958143355609,-23.295814335560898,23.295814335560898,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,22.1
2023-12-29 08:00:00+08:00,捷運公館站(3號出口),6.0,28.73905134919784,-22.73905134919784,22.73905134919784,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,19.2
2023-12-07 17:00:00+08:00,捷運科技大樓站,44.0,21.634447223884877,22.365552776115123,22.365552776115123,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,18.4
2023-12-29 18:00:00+08:00,捷運芝山站(2號出口)_1,53.0,30.753957692530477,22.246042307469523,22.246042307469523,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,18.9
2023-12-15 08:00:00+08:00,捷運公館站(3號出口),5.0,27.123636521371743,-22.123636521371743,22.123636521371743,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,19.7
2023-12-19 18:00:00+08:00,捷運龍山寺站(1號出口),47.0,24.988417338915873,22.011582661084127,22.011582661084127,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,16.7
2023-12-07 18:00:00+08:00,捷運劍潭站(2號出口),51.0,29.10650686863488,21.89349313136512,21.89349313136512,high,evening_peak,regular_workday,dry,cool_training_quartile,0.0,17.6
2023-12-07 10:00:00+08:00,捷運公館站(3號出口),27.0,5.817754017378517,21.18224598262148,21.18224598262148,high,off_peak,regular_workday,dry,middle_temperature_range,0.0,21.0
2023-12-13 08:00:00+08:00,捷運中山國中站,45.0,24.022082113656552,20.977917886343448,20.977917886343448,high,morning_peak,regular_workday,dry,middle_temperature_range,0.0,19.6
2023-12-08 18:00:00+08:00,捷運劍潭站(2號出口),71.0,50.263579439216784,20.736420560783216,20.736420560783216,high,evening_peak,regular_workday,dry,middle_temperature_range,0.0,21.3
