hour,rows,average_actual,average_prediction,mae
0,3100,1.236451612903226,1.254336185470728,0.9840639223248764
1,3100,0.056451612903225805,0.07139858098384189,0.11140464887592506
2,3100,0.0,0.00815651180641234,0.00815651180641234
3,3100,0.0,0.007349403084172285,0.007349403084172285
4,3100,0.0,0.00980774258627398,0.00980774258627398
5,3100,0.06419354838709677,0.08279633203173069,0.08669408066210785
6,3100,1.742258064516129,1.8311292519208215,0.9411588346391612
7,3100,5.4316129032258065,5.379264340193257,2.0559645576862255
8,3100,7.629354838709677,7.806641988175498,2.6997151236339385
9,3100,4.903870967741936,5.248221941239705,2.0449033159147985
10,3100,3.6461290322580644,4.0561283013644145,1.748185650385462
11,3100,3.7761290322580647,3.985781881220105,1.7229701090280647
12,3100,4.588709677419355,4.8240976200657615,1.8569958281298569
13,3100,4.876451612903225,4.996528174207677,1.9228591199349505
14,3100,4.7461290322580645,4.922641531431384,1.9104645649457193
15,3100,5.137096774193548,5.168692707185406,1.9308338668654408
16,3099,6.779283639883833,6.613992622434652,2.266633209852757
17,3092,9.086998706338939,8.712395475753342,2.8796190346342394
18,3091,10.362018764153996,10.05026933502373,3.0117519399443533
19,3089,6.543865328585302,6.812841808660887,2.366988149041274
20,3089,4.73745548721269,4.9668914591570354,2.000062920718861
21,3088,4.981865284974093,4.813547195568406,2.0642979422579284
22,3083,3.8696075251378526,3.9892139723022995,1.8524838475029668
23,3051,2.084890199934448,2.265925665808554,1.3219641191522271
