feature,mae_increase_mean,mae_increase_std
hour_cos,0.50671122265708,0.017291926940874676
borrow_lag_1h,0.40754441213969694,0.008902999358600677
hour_sin,0.23002285559361732,0.013226863131537907
station_name,0.18759750306358378,0.0054569217898693305
borrow_lag_168h,0.17566767161499142,0.002437221271261953
borrow_rolling_mean_24h,0.1489080236568039,0.004496140024836155
borrow_lag_24h,0.11925861278544336,0.0013567368302840614
weekday_sin,0.05148440244329181,0.0069604669312846095
precipitation_mm,0.031926146890382645,0.0024599626984391134
relative_humidity_percent,0.02295936994839461,0.0019340705155232898
weekday_cos,0.01297037928747898,0.0024290928621155147
is_weekend,0.010657040678619131,0.0007079749171780376
temperature_c,0.006275575033980463,0.0004348960642394475
return_lag_1h,0.005292792941699635,0.000965378352396547
wind_speed_kmh,0.00016012304851775738,0.001317500569428674
month_cos,0.0,0.0
month_sin,0.0,0.0
is_raining,0.0,0.0
