station_name,rows,average_actual,average_prediction,mae
捷運公館站(2號出口),744,20.987903225806452,20.2236497583545,5.294064922342476
捷運公館站(3號出口),744,11.005376344086022,10.700320728397562,3.571765820735657
捷運芝山站(2號出口)_1,744,11.327956989247312,11.514196373759473,3.205612053897768
捷運劍潭站(2號出口),742,9.74932614555256,9.890177780168445,3.205351540344286
捷運科技大樓站,744,11.994623655913978,11.680569788559776,3.063462178644142
捷運龍山寺站(1號出口),744,9.754032258064516,9.690116067258757,2.85614731057761
捷運中山國中站,744,9.239247311827956,9.265572519453242,2.7440844804050117
捷運臺北101/世貿站(2號出口),737,7.436906377204885,7.273274491130192,2.633402820123123
捷運圓山站(1號出口),743,7.664872139973082,7.654114943830979,2.407550463895754
捷運芝山站(1號出口),744,6.782258064516129,7.013170372385086,2.3728155469312235
捷運北投站(1號出口),744,6.170698924731183,6.235549328801707,2.1968506766295794
捷運東門站(5號出口),744,6.576612903225806,6.52125608006999,2.1914042689029776
捷運永春站(2號出口),744,6.53494623655914,6.650025091202176,2.1715993906831894
捷運六張犁站,743,8.029609690444145,8.035064860700789,2.1684189951452906
捷運象山站(3號出口),736,6.536684782608695,6.455214988188105,2.0807792620758696
捷運行天宮站(3號出口),744,7.331989247311828,7.385657968795671,2.0806712831690657
捷運南京三民站(1號出口),743,6.888290713324361,6.78586765950018,2.0642104070114153
捷運圓山站(2號出口),744,5.993279569892473,6.196269571737516,2.0629342239679738
捷運劍南路站(2號出口),744,6.190860215053763,6.295311954082921,2.0304542478036045
捷運象山站(2號出口),737,5.57123473541384,5.719196837288424,1.971397716794974
捷運南港展覽館站(5號出口),744,4.03494623655914,4.388612864079808,1.8918363614007
捷運北門站(3號出口),743,6.014804845222073,6.008137173168837,1.8648348207931755
捷運大安森林公園站(5號出口),744,5.399193548387097,5.425413868435221,1.838565794103875
捷運松江南京站(7號出口),744,4.836021505376344,4.903238021113458,1.8159335339918863
捷運後山埤站(2號出口),744,4.612903225806452,4.692736357972063,1.8111028467512502
捷運古亭站(5號出口),744,4.775537634408602,4.654120424421244,1.7983921685329085
捷運古亭站(2號出口),744,5.356182795698925,5.330317541555193,1.796689925815367
捷運大安站(4號出口),743,5.271870794078062,5.231809891413287,1.7773798816571897
捷運劍潭站(1號出口),744,4.133064516129032,4.160799286634981,1.7391010907926094
捷運國父紀念館站(2號出口),737,4.312075983717775,4.48641816803977,1.7186432537936769
捷運石牌站(2號出口),743,4.843876177658142,5.059851256361361,1.6827888852474078
捷運士林站(1號出口),744,3.877688172043011,4.0458445255198825,1.6789400356124078
捷運市政府站(3號出口),744,3.7594086021505375,4.106245650577089,1.6750631960502949
捷運士林站(2號出口),744,4.862903225806452,4.911605003610804,1.6560396961617316
捷運大橋頭站(2號出口),744,4.407258064516129,4.643493533429416,1.6035294906637343
捷運信義安和站(4號出口),739,4.368064952638701,4.379331073518461,1.5984316690448794
捷運龍山寺站(1號出口)_1,742,3.142857142857143,3.1187428782852007,1.5706755024829797
捷運忠孝復興站(2號出口),744,4.434139784946237,4.589039632877545,1.5564859012195644
捷運奇岩站(三合街),743,3.534320323014805,3.688876469412181,1.5157006179377253
捷運中山國小站(4號出口),744,3.6666666666666665,3.6464414512763423,1.4950724956758743
捷運古亭站(6號出口),744,2.46505376344086,2.5639804045392416,1.470174791503952
捷運大安森林公園站(2號出口),744,3.396505376344086,3.5414590166168134,1.4500933083257868
捷運善導寺站(3號出口)(忠孝東路側),743,3.281292059219381,3.3177673026923045,1.4432199470370781
臺大大一女舍北側,744,2.9260752688172045,3.1336558990001677,1.4430647304155644
捷運關渡站(1號出口),743,3.1184387617765816,3.3561152793048694,1.4426904814052517
捷運西門站(3號出口),744,3.6196236559139785,3.654247919817189,1.4399651165661451
捷運中山站(2號出口),743,3.1063257065948857,3.3212678312445862,1.4231063066195206
信義廣場(臺北101),737,3.0081411126187247,3.0754983540293455,1.4196904731857687
捷運大安站(3號出口),744,2.838709677419355,2.9674215101443138,1.4022246894432817
西本願寺廣場,743,3.0807537012113055,3.1640260332136902,1.3844365295363004
捷運昆陽站(1號出口),744,2.9583333333333335,3.179868904229383,1.3628189051421742
捷運雙連站(2號出口),744,3.25,3.320592075324347,1.3574429588547603
捷運港墘站(2號出口),743,2.5302826379542394,2.6989467467666275,1.3573489812591701
捷運南京復興站(5號出口),744,3.006720430107527,3.2432909416738767,1.347525215328513
捷運松山站(3號出口),743,2.8438761776581427,3.0230565050464153,1.337844831560704
捷運中山站(5號出口),744,3.2311827956989245,3.333079113037962,1.328919072428012
捷運忠孝新生站(4號出口),744,2.849462365591398,2.7368030599199282,1.3210208199696112
捷運臺北101/世貿站(3號出口),737,2.675712347354138,2.5430377087875087,1.3051317845351094
捷運內湖站(1號出口),743,2.915208613728129,2.9892067689713984,1.299371355307441
捷運明德站(3號出口),743,2.674293405114401,2.8403701357670954,1.2748743462343868
捷運文德站(2號出口),744,2.9233870967741935,2.951725634442896,1.2735910677839697
捷運臺電大樓站(2號出口),743,2.6567967698519515,2.743453751757109,1.2565747093955069
南京遼寧街口,744,2.7231182795698925,2.8023404109172083,1.246534739832194
興雅松仁路口,737,2.587516960651289,2.591100073783153,1.2259958602308496
捷運大安站(5號出口),743,2.430686406460296,2.292252051057205,1.2203206610794457
復興南路二段273號前,743,1.9448183041722746,2.098992342240703,1.2031620194146486
捷運公館站(1號出口),743,2.391655450874832,2.596680857154442,1.1878941942842351
捷運信義安和站(1號出口),738,2.475609756097561,2.6153382509301126,1.1831235544128318
捷運松山站(4號出口),744,2.485215053763441,2.585265594031755,1.17523712531876
捷運景美站(2號出口),744,2.138440860215054,2.336471718657244,1.1702108938210656
捷運唭哩岸站(2號出口),743,2.257065948855989,2.4338844141205933,1.1667896735604435
捷運南京復興站(7號出口),742,2.532345013477089,2.554980721074615,1.1437709593912777
捷運萬隆站(2號出口),744,2.48252688172043,2.5208639276958196,1.142545570208963
捷運小巨蛋站(5號出口)_1,743,2.0484522207267832,2.084149970866779,1.1198425865921315
捷運臺大醫院站(4號出口),741,2.329284750337382,2.404469659056658,1.11530866001126
捷運小巨蛋站(3號出口),744,2.0094086021505375,2.05364920658199,1.1023939041555875
捷運信義安和站(2號出口),739,2.151556156968877,2.0848795766548167,1.0999219883043039
臺大椰林小舖,744,1.3346774193548387,1.439471043020549,1.0958282465774536
捷運北投站(1號出口)(北投路側),743,1.819650067294751,1.822412976378897,1.0917250271153685
捷運臺電大樓站(2號出口)_1,744,1.853494623655914,1.9351911970318851,1.0878148088195698
捷運松江南京站(8號出口),744,2.014784946236559,1.9754467831368612,1.0807764975372811
捷運小南門站(1號出口),742,1.6657681940700808,1.838979398816264,1.0780721517641687
捷運南京三民站(4號出口),744,1.7970430107526882,1.8415578084491502,1.0650665278347267
捷運忠孝新生站(2號出口),744,1.7836021505376345,1.8486692815776502,1.0593076461308013
捷運象山站(1號出口),737,1.791044776119403,1.8486841026641068,1.0551695763711397
捷運古亭站(8號出口),744,2.006720430107527,2.138673151691022,1.0523010948946017
捷運後山埤站(3號出口),743,1.9703903095558546,2.062672866420417,1.0503606804411154
捷運後山埤站(1號出口),744,1.739247311827957,1.726172891638983,1.0459620600927306
捷運忠孝敦化站(7號出口),743,1.9488559892328399,2.048243563974216,1.0350295091941701
臺大鹿鳴堂東側,744,1.4919354838709677,1.6074808681997235,1.0314861201953796
捷運芝山站(2號出口),743,1.3055181695827724,1.4282108018250508,1.0200573918409466
捷運西門站(5號出口),742,1.7547169811320755,1.8606546434676876,1.017175759766086
松山車站,743,1.6971736204576042,1.8313868720151,1.0113381546442088
捷運萬隆站(1號出口),744,1.7150537634408602,1.8289358738594514,0.9961115397533543
捷運南京三民站(2號出口),743,1.997308209959623,2.1274734884283024,0.987633413204808
捷運港墘站(1號出口),743,1.8183041722745625,1.8246465659870708,0.9579840334985895
捷運萬隆站(4號出口),743,1.6716016150740243,1.825115791102008,0.9556894536546514
捷運松江南京站(4號出口),743,1.6850605652759085,1.722711295779422,0.9390980186432399
南港車站(市民大道),743,1.3216689098250336,1.4622198447898453,0.8417882914365175
捷運西湖站(1號出口),743,1.110363391655451,1.2440470664492247,0.8058953308254956
