is_raining,temperature_band,observed_hours,average_borrows,median_borrows,average_returns,average_precipitation_mm,average_humidity_percent
False,<=15,498,801.1084337349398,677.5,801.1084337349398,0.0,75.29718875502007
False,15-20,1349,945.5478131949592,867.0,945.5478131949592,0.0,81.25426241660489
False,20-25,1632,1031.1004901960785,983.5,1031.1004901960785,0.0,78.07230392156863
False,25-30,1770,1037.5909604519775,944.0,1037.5909604519775,0.0,78.24350282485875
False,>30,661,1076.96671709531,942.0,1076.9606656580938,0.0,62.16944024205749
True,<=15,145,713.6758620689656,674.0,713.6758620689656,0.15310344827586206,79.67586206896551
True,15-20,424,700.2146226415094,579.5,700.2146226415094,0.40471698113207544,87.21933962264151
True,20-25,358,731.8966480446927,675.0,731.8966480446927,0.608659217877095,86.17039106145252
True,25-30,664,878.0436746987951,822.0,878.0436746987951,0.8917168674698795,83.730421686747
True,>30,258,920.1589147286821,855.0,920.1550387596899,0.4883720930232558,66.86046511627907
