is_weekend,hour,is_raining,observed_hours,average_borrows,median_borrows,average_returns
False,0,False,211,209.75355450236967,207.0,209.75355450236967
False,0,True,48,147.89583333333334,149.0,147.89583333333334
False,1,False,210,16.623809523809523,16.0,16.623809523809523
False,1,True,48,11.625,12.0,11.625
False,2,False,55,1.1454545454545455,1.0,1.1454545454545455
False,2,True,7,1.7142857142857142,1.0,1.7142857142857142
False,4,False,3,1.0,1.0,1.0
False,5,False,210,29.65714285714286,30.0,29.65714285714286
False,5,True,49,23.571428571428573,24.0,23.571428571428573
False,6,False,212,433.3301886792453,383.0,433.3301886792453
False,6,True,47,321.9148936170213,330.0,321.9148936170213
False,7,False,208,1634.764423076923,1398.5,1634.764423076923
False,7,True,51,1144.3725490196077,1041.0,1144.3725490196077
False,8,False,214,2405.6869158878503,1987.0,2405.6869158878503
False,8,True,45,1882.5555555555557,1765.0,1882.5555555555557
False,9,False,212,1495.1792452830189,1288.0,1495.1745283018868
False,9,True,47,1050.3829787234042,1161.0,1050.3829787234042
False,10,False,201,981.9104477611941,890.0,981.9104477611941
False,10,True,58,735.0172413793103,794.0,735.0172413793103
False,11,False,191,860.3664921465969,809.0,860.3664921465969
False,11,True,68,706.3823529411765,737.5,706.3676470588235
False,12,False,185,982.9459459459459,916.0,982.9459459459459
False,12,True,74,806.7027027027027,815.5,806.7027027027027
False,13,False,179,1039.508379888268,994.0,1039.508379888268
False,13,True,80,894.8125,908.0,894.8125
False,14,False,167,979.125748502994,954.0,979.1197604790419
False,14,True,92,804.2065217391304,819.5,804.2065217391304
False,15,False,169,1065.414201183432,1016.0,1065.414201183432
False,15,True,90,871.2555555555556,913.5,871.2555555555556
False,16,False,175,1449.462857142857,1413.0,1449.462857142857
False,16,True,84,1238.4880952380952,1251.5,1238.4880952380952
False,17,False,191,1985.193717277487,1918.0,1985.193717277487
False,17,True,68,1538.4411764705883,1621.0,1538.4411764705883
False,18,False,210,2452.457142857143,2354.5,2452.4523809523807
False,18,True,49,1858.7551020408164,1861.0,1858.7551020408164
False,19,False,208,1767.8028846153845,1670.0,1767.8028846153845
False,19,True,51,1283.1764705882354,1376.0,1283.1764705882354
False,20,False,214,1115.588785046729,1063.0,1115.588785046729
False,20,True,45,811.2888888888889,811.0,811.2888888888889
False,21,False,211,1040.8199052132702,1000.0,1040.8199052132702
False,21,True,48,782.0208333333334,805.5,782.0208333333334
False,22,False,212,833.6320754716982,824.5,833.6320754716982
False,22,True,47,647.468085106383,661.0,647.468085106383
False,23,False,210,425.06190476190477,423.0,425.06190476190477
False,23,True,49,333.9387755102041,307.0,333.9387755102041
True,0,False,85,325.3411764705882,310.0,325.3411764705882
True,0,True,20,291.85,271.5,291.85
True,1,False,85,31.176470588235293,31.0,31.176470588235293
True,1,True,20,72.3,27.0,72.3
True,2,False,40,1.525,1.0,1.525
True,2,True,7,71.71428571428571,1.0,71.71428571428571
True,3,True,2,155.5,155.5,155.5
True,4,True,2,109.5,109.5,109.5
True,5,False,84,20.285714285714285,20.0,20.285714285714285
True,5,True,21,23.761904761904763,18.0,23.761904761904763
True,6,False,81,241.8641975308642,223.0,241.8641975308642
True,6,True,24,193.54166666666666,198.5,193.54166666666666
True,7,False,80,511.4125,423.5,511.4125
True,7,True,25,360.96,361.0,360.96
True,8,False,77,802.4155844155844,703.0,802.4155844155844
True,8,True,28,638.0,600.0,638.0
True,9,False,77,834.0,794.0,834.0
True,9,True,28,672.4285714285714,590.5,672.4285714285714
True,10,False,73,799.5890410958904,752.0,799.5890410958904
True,10,True,32,653.09375,670.0,653.09375
True,11,False,73,830.3013698630137,817.0,830.3013698630137
True,11,True,32,710.40625,776.5,710.40625
True,12,False,72,935.3472222222222,895.0,935.3472222222222
True,12,True,33,821.060606060606,816.0,821.060606060606
True,13,False,69,1084.8840579710145,1071.0,1084.8695652173913
True,13,True,36,935.6944444444445,959.5,935.6944444444445
True,14,False,63,1120.5396825396826,1110.0,1120.5396825396826
True,14,True,42,915.547619047619,1011.5,915.547619047619
True,15,False,66,1163.409090909091,1148.0,1163.409090909091
True,15,True,39,961.5641025641025,991.0,961.5641025641025
True,16,False,73,1270.6986301369864,1242.0,1270.6986301369864
True,16,True,32,966.0625,1046.0,966.0625
True,17,False,71,1470.5070422535211,1411.0,1470.5070422535211
True,17,True,34,1086.764705882353,1199.5,1086.764705882353
True,18,False,77,1364.6233766233765,1309.0,1364.6233766233765
True,18,True,28,938.0,991.0,938.0
True,19,False,82,1054.5121951219512,1017.5,1054.5121951219512
True,19,True,23,725.6086956521739,658.0,725.6086956521739
True,20,False,82,947.0487804878048,935.0,947.0487804878048
True,20,True,23,598.8695652173913,588.0,598.8695652173913
True,21,False,77,965.4935064935065,956.0,965.4935064935065
True,21,True,28,703.4642857142857,747.5,703.4642857142857
True,22,False,81,812.6172839506173,831.0,812.6172839506173
True,22,True,24,614.2083333333334,677.5,614.2083333333334
True,23,False,84,490.2738095238095,495.0,490.2738095238095
True,23,True,21,356.76190476190476,358.0,356.76190476190476
