hour,rows,average_actual,average_prediction,mae
0,3100,1.236451612903226,1.2253133,0.9913835339824999
1,3100,0.056451612903225805,0.08427133,0.12347091428334675
2,3100,0.0,0.012885619,0.012885618923051703
3,3100,0.0,0.010733517,0.010733516579193454
4,3100,0.0,0.010940019,0.010940018720143744
5,3100,0.06419354838709677,0.089943066,0.09381945457730081
6,3100,1.742258064516129,1.820823,0.9700692608664113
7,3100,5.4316129032258065,5.4774528,2.0817481399063142
8,3100,7.629354838709677,7.712245,2.7206346692000665
9,3100,4.903870967741936,5.0398984,2.05975765906034
10,3100,3.6461290322580644,3.8527617,1.7337240988208402
11,3100,3.7761290322580647,3.74924,1.7198525471360453
12,3100,4.588709677419355,4.569146,1.8656948820621737
13,3100,4.876451612903225,4.736946,1.961267749051894
14,3100,4.7461290322580645,4.6747127,1.9396172533689007
15,3100,5.137096774193548,5.008424,1.993450475969622
16,3099,6.779283639883833,6.5226717,2.347794607459595
17,3092,9.086998706338939,8.691254,2.903117246193303
18,3091,10.362018764153996,10.110597,3.1020605425952668
19,3089,6.543865328585302,6.786382,2.407299527967775
20,3089,4.73745548721269,4.866962,2.0045273705771844
21,3088,4.981865284974093,4.674533,2.0956558348379373
22,3083,3.8696075251378526,3.8554318,1.8740568249122376
23,3051,2.084890199934448,2.178326,1.3225811354666996
