feature,mae_increase_mean,mae_increase_std
borrow_lag_1h,0.489955701313292,0.004457605396509971
hour_cos,0.30555507382939867,0.011854108753924104
borrow_lag_168h,0.27616482787212976,0.0024258225993566804
borrow_lag_24h,0.22063521648437398,0.003395145060020857
borrow_rolling_mean_24h,0.21960221334882077,0.0078046450986930865
hour_sin,0.16318849732043836,0.0019074588605156124
weekday_sin,0.06963485055332996,0.0020291137926540396
precipitation_mm,0.02713530953734485,0.001130182925913484
station_name,0.02084528132481493,0.0023207134164387484
return_lag_1h,0.011224249959923252,0.0009407178937434657
relative_humidity_percent,0.0055183756704752325,0.0008817463986574227
is_weekend,0.003559195555094504,7.926713018061226e-05
temperature_c,0.003275566134756991,0.00033388454786077037
weekday_cos,0.0012745794846364955,0.00046726811678905045
month_cos,0.0,0.0
month_sin,0.0,0.0
is_raining,-7.298343954609265e-05,0.00012963298957111157
wind_speed_kmh,-0.0015352275708380898,0.0005747355282769417
