station_name,rows,average_actual,average_prediction,mae
捷運公館站(2號出口),744,20.987903225806452,20.5775,5.172299619709011
捷運公館站(3號出口),744,11.005376344086022,10.684201,3.6671012155962006
捷運劍潭站(2號出口),742,9.74932614555256,9.650001,3.1715306726552925
捷運科技大樓站,744,11.994623655913978,11.402263,3.1029194891189915
捷運芝山站(2號出口)_1,744,11.327956989247312,11.094862,3.064241363429114
捷運龍山寺站(1號出口),744,9.754032258064516,9.481846,2.8911146755963664
捷運中山國中站,744,9.239247311827956,8.887478,2.7182370835780016
捷運臺北101/世貿站(2號出口),737,7.436906377204885,7.0815177,2.6385467804202576
捷運圓山站(1號出口),743,7.664872139973082,7.536159,2.4211098013087247
捷運芝山站(1號出口),744,6.782258064516129,6.6210365,2.297792197404159
捷運北投站(1號出口),744,6.170698924731183,6.0643907,2.2222026447259813
捷運六張犁站,743,8.029609690444145,7.8974223,2.215324273464567
捷運永春站(2號出口),744,6.53494623655914,6.4916677,2.201551853551439
捷運東門站(5號出口),744,6.576612903225806,6.3950777,2.1941028468658827
捷運象山站(3號出口),736,6.536684782608695,6.3214536,2.1450822410596353
捷運行天宮站(3號出口),744,7.331989247311828,7.165691,2.096903572916754
捷運南京三民站(1號出口),743,6.888290713324361,6.543577,2.0827195645080603
捷運圓山站(2號出口),744,5.993279569892473,5.904333,2.078421819642166
捷運象山站(2號出口),737,5.57123473541384,5.4930983,2.017204680478799
捷運劍南路站(2號出口),744,6.190860215053763,6.0200872,2.0041777210946004
捷運北門站(3號出口),743,6.014804845222073,5.838059,1.9531198893479431
捷運南港展覽館站(5號出口),744,4.03494623655914,4.0333877,1.9307120931284723
捷運松江南京站(7號出口),744,4.836021505376344,4.7504845,1.8869528122914714
捷運古亭站(5號出口),744,4.775537634408602,4.570495,1.8541331492734934
捷運大安森林公園站(5號出口),744,5.399193548387097,5.2528768,1.8536247726409667
捷運古亭站(2號出口),744,5.356182795698925,5.108891,1.8530400575123607
捷運後山埤站(2號出口),744,4.612903225806452,4.5482483,1.837864795286629
捷運大安站(4號出口),743,5.271870794078062,5.138156,1.819744641594288
捷運劍潭站(1號出口),744,4.133064516129032,4.0543313,1.764717168400004
捷運士林站(2號出口),744,4.862903225806452,4.79061,1.738920742013712
捷運國父紀念館站(2號出口),737,4.312075983717775,4.295532,1.7329154370650852
捷運市政府站(3號出口),744,3.7594086021505375,3.7806501,1.698743592528376
捷運石牌站(2號出口),743,4.843876177658142,4.7304688,1.6795266694809194
捷運信義安和站(4號出口),739,4.368064952638701,4.296597,1.657436558867128
捷運士林站(1號出口),744,3.877688172043011,3.890205,1.652427190774551
捷運大橋頭站(2號出口),744,4.407258064516129,4.3256187,1.6229259269925396
捷運龍山寺站(1號出口)_1,742,3.142857142857143,3.0886257,1.6076417382457608
捷運忠孝復興站(2號出口),744,4.434139784946237,4.439055,1.5973812214509453
捷運中山國小站(4號出口),744,3.6666666666666665,3.6483667,1.53828235115901
捷運奇岩站(三合街),743,3.534320323014805,3.4245882,1.5282391612900579
捷運古亭站(6號出口),744,2.46505376344086,2.5701554,1.501521995228525
捷運善導寺站(3號出口)(忠孝東路側),743,3.281292059219381,3.3447719,1.4919572879433691
捷運西門站(3號出口),744,3.6196236559139785,3.5885646,1.4909746827212191
信義廣場(臺北101),737,3.0081411126187247,3.074296,1.4609743014250955
捷運大安森林公園站(2號出口),744,3.396505376344086,3.389622,1.4583840771047498
捷運中山站(2號出口),743,3.1063257065948857,3.065341,1.457942066156377
捷運關渡站(1號出口),743,3.1184387617765816,3.1701624,1.44402253717525
臺大大一女舍北側,744,2.9260752688172045,2.8600662,1.426994471355111
西本願寺廣場,743,3.0807537012113055,3.0499249,1.4177747013130066
捷運大安站(3號出口),744,2.838709677419355,2.8708706,1.4067234283636114
捷運昆陽站(1號出口),744,2.9583333333333335,2.8982117,1.3953152490461807
捷運南京復興站(5號出口),744,3.006720430107527,3.022842,1.3894584562832248
捷運雙連站(2號出口),744,3.25,3.264021,1.384183450044954
捷運內湖站(1號出口),743,2.915208613728129,2.8522365,1.3739571973147475
捷運港墘站(2號出口),743,2.5302826379542394,2.5204554,1.3691777044087448
捷運松山站(3號出口),743,2.8438761776581427,2.83139,1.3593861774427372
捷運中山站(5號出口),744,3.2311827956989245,3.2018857,1.3576892386228148
捷運忠孝新生站(4號出口),744,2.849462365591398,2.8557627,1.357643520891396
捷運臺北101/世貿站(3號出口),737,2.675712347354138,2.6102927,1.3543785163346713
捷運明德站(3號出口),743,2.674293405114401,2.7348273,1.3055818735247084
捷運文德站(2號出口),744,2.9233870967741935,2.8772767,1.2886708030246838
捷運臺電大樓站(2號出口),743,2.6567967698519515,2.6415157,1.2781767957138142
興雅松仁路口,737,2.587516960651289,2.6214466,1.2768451272531474
南京遼寧街口,744,2.7231182795698925,2.8126328,1.271222970101692
捷運大安站(5號出口),743,2.430686406460296,2.4188485,1.2536693908359409
復興南路二段273號前,743,1.9448183041722746,2.0541928,1.2284350116670752
捷運松山站(4號出口),744,2.485215053763441,2.5375268,1.222592975384736
捷運信義安和站(1號出口),738,2.475609756097561,2.5696993,1.2082202851388675
捷運南京復興站(7號出口),742,2.532345013477089,2.6134827,1.1960744744786778
捷運公館站(1號出口),743,2.391655450874832,2.3978474,1.195421747752988
捷運萬隆站(2號出口),744,2.48252688172043,2.5084305,1.1600265414654327
捷運唭哩岸站(2號出口),743,2.257065948855989,2.3174927,1.1561577025259449
捷運景美站(2號出口),744,2.138440860215054,2.2016578,1.1539341732884647
捷運臺大醫院站(4號出口),741,2.329284750337382,2.3720124,1.1418882504723935
臺大椰林小舖,744,1.3346774193548387,1.490712,1.127727325089396
捷運小巨蛋站(5號出口)_1,743,2.0484522207267832,2.1590977,1.1257227487175212
捷運信義安和站(2號出口),739,2.151556156968877,2.2154922,1.123948019541074
捷運小巨蛋站(3號出口),744,2.0094086021505375,2.1334043,1.123161485004339
捷運小南門站(1號出口),742,1.6657681940700808,1.8470663,1.112184621711234
捷運北投站(1號出口)(北投路側),743,1.819650067294751,1.8828173,1.1085413065770313
捷運臺電大樓站(2號出口)_1,744,1.853494623655914,1.97745,1.1009710213715231
捷運古亭站(8號出口),744,2.006720430107527,2.1510067,1.0944736102941417
捷運松江南京站(8號出口),744,2.014784946236559,2.0609744,1.092004506789919
捷運忠孝新生站(2號出口),744,1.7836021505376345,1.917852,1.086481894108577
捷運象山站(1號出口),737,1.791044776119403,1.9619358,1.0857054189067419
捷運南京三民站(4號出口),744,1.7970430107526882,1.941248,1.0778610134454725
捷運後山埤站(1號出口),744,1.739247311827957,1.7506766,1.0774465305830843
捷運西門站(5號出口),742,1.7547169811320755,1.9617873,1.0727155688344288
捷運後山埤站(3號出口),743,1.9703903095558546,2.0628004,1.0553603454857743
捷運忠孝敦化站(7號出口),743,1.9488559892328399,2.0714674,1.053472383483031
松山車站,743,1.6971736204576042,1.8143344,1.0474889566858636
捷運萬隆站(1號出口),744,1.7150537634408602,1.8783666,1.0435665730594768
捷運芝山站(2號出口),743,1.3055181695827724,1.4375553,1.0316729404290443
臺大鹿鳴堂東側,744,1.4919354838709677,1.5832787,1.0307118896625296
捷運南京三民站(2號出口),743,1.997308209959623,2.1686196,1.0009861558194437
捷運港墘站(1號出口),743,1.8183041722745625,1.9319094,0.9765068371610999
捷運萬隆站(4號出口),743,1.6716016150740243,1.8262123,0.9742622475351632
捷運松江南京站(4號出口),743,1.6850605652759085,1.8017331,0.9502481100980499
捷運西湖站(1號出口),743,1.110363391655451,1.3320282,0.8502489686786908
南港車站(市民大道),743,1.3216689098250336,1.4868494,0.849697764766118
